t,Antenna ID,Event Code,Device ID,x,y, Tile ID
16,123,0,241,599963.649069,650991.269685,650
16,201,2,268,600410.273702,650778.988449,601
16,50,0,299,599957.709426,649220.863673,191
16,137,2,297,600361.369070,653379.649436,1302
16,89,1,257,600787.689685,651701.948873,848
16,97,0,276,600533.257962,650393.998681,494
16,129,1,276,600533.257962,650393.998681,494
16,199,0,283,600030.652318,651647.423264,840
16,71,2,280,600255.040228,649027.918590,140
16,115,1,291,600815.016906,650686.528241,578
16,23,1,284,600030.652318,651647.423264,840
17,193,0,291,600977.813885,650597.881726,552
17,199,1,284,600236.827208,651604.631805,842
17,194,2,289,600384.426337,650135.919067,439
17,137,2,297,600361.369070,653379.649436,1302
17,161,0,283,600236.827208,651604.631805,842
17,131,2,234,601514.911596,650068.348954,423
17,213,2,253,599821.045903,650050.220257,406
17,71,1,280,600245.761950,648833.420434,86
17,45,0,299,600036.303770,649088.961541,138
17,199,1,283,600236.827208,651604.631805,842
17,23,2,246,599987.832676,651933.067514,921
17,161,0,284,600236.827208,651604.631805,842
17,123,2,241,599963.649069,650991.269685,650
17,180,1,257,600817.565795,651521.157089,821
17,23,2,259,600078.941324,651854.245087,895
17,148,2,230,600284.643085,653002.162496,1221
17,137,2,296,600361.369070,653379.649436,1302
17,207,1,270,600293.621224,649369.468280,222
17,23,2,245,599987.832676,651933.067514,921
17,201,2,268,600410.273702,650778.988449,601
17,37,1,291,600977.813885,650597.881726,552
17,197,0,257,600817.565795,651521.157089,821
17,193,0,292,600977.813885,650597.881726,552
17,123,2,242,599963.649069,650991.269685,650
17,45,2,273,600098.606720,649132.313536,166
17,37,1,292,600977.813885,650597.881726,552
17,99,0,270,600293.621224,649369.468280,222
17,97,2,276,600417.844322,650529.417888,547
17,50,1,299,600036.303770,649088.961541,138
17,66,0,280,600245.761950,648833.420434,86
18,66,1,280,600369.392220,648682.983817,33
18,23,2,259,600078.941324,651854.245087,895
18,197,1,257,600979.922977,651436.195943,796
18,23,2,245,599987.832676,651933.067514,921
18,161,1,284,600444.016039,651642.208162,844
18,213,2,253,599821.045903,650050.220257,406
18,148,2,230,600284.643085,653002.162496,1221
18,45,2,273,600098.606720,649132.313536,166
18,97,2,276,600417.844322,650529.417888,547
18,158,0,291,601128.643571,650490.125209,527
18,158,0,292,601128.643571,650490.125209,527
18,131,2,234,601514.911596,650068.348954,423
18,23,2,246,599987.832676,651933.067514,921
18,79,0,283,600444.016039,651642.208162,844
18,193,1,291,601128.643571,650490.125209,527
18,201,2,268,600410.273702,650778.988449,601
18,221,0,242,600203.682856,649993.690708,383
18,194,2,289,600384.426337,650135.919067,439
18,193,1,292,601128.643571,650490.125209,527
18,161,1,283,600444.016039,651642.208162,844
18,99,2,270,600293.621224,649369.468280,222
18,123,1,241,600203.682856,649993.690708,383
18,79,0,284,600444.016039,651642.208162,844
18,137,1,296,600407.311058,653211.244496,1276
18,45,2,299,599985.077045,648944.216710,111
18,35,0,296,600407.311058,653211.244496,1276
18,137,1,297,600407.311058,653211.244496,1276
18,123,1,242,600203.682856,649993.690708,383
18,32,0,257,600979.922977,651436.195943,796
18,35,0,297,600407.311058,653211.244496,1276
18,219,0,280,600369.392220,648682.983817,33
18,221,0,241,600203.682856,649993.690708,383
19,148,2,230,600284.643085,653002.162496,1221
19,221,1,241,599987.571627,648990.657323,111
19,158,1,292,601133.236234,650304.814745,500
19,79,2,284,600582.694280,651483.754573,792
19,23,2,259,600078.941324,651854.245087,895
19,32,1,257,601152.905796,651375.737733,770
19,97,2,276,600417.844322,650529.417888,547
