t;Person ID;x;y
10;232;600028.886450;648578.742008
10;231;601607.333938;650103.890750
10;229;600786.767062;652138.919009
11;300;600280.088259;651772.333140
11;298;599743.256137;649599.547327
11;295;600361.369070;653379.649436
11;294;601334.504409;650275.520800
11;293;600381.495263;650354.538096
11;290;600484.577948;651059.623610
11;288;600384.426337;650135.919067
11;287;601279.200964;652299.894141
11;286;600404.453143;649081.931105
11;285;600598.400336;649108.400310
11;282;600498.343063;651400.598293
11;281;601772.365239;649602.391517
11;279;600255.040228;649027.918590
11;278;601171.377695;649921.689187
11;277;600784.426661;650061.703602
11;275;601026.924381;649883.108971
11;274;601259.013518;648922.429612
11;272;600195.744990;649919.004013
11;271;600961.705448;652508.633703
11;269;600228.593521;649307.067319
11;267;600410.273702;650778.988449
11;266;601427.567027;650073.855850
11;265;600700.756546;653141.942455
11;264;601656.065295;650679.610318
11;263;600190.108587;648723.725952
11;262;600551.351731;650453.006784
11;261;600670.142316;652137.016046
11;260;599778.170069;650148.694879
11;258;600078.941324;651854.245087
11;256;600206.120396;652268.043455
11;255;601027.839567;652554.729750
11;254;599928.565929;649997.679360
11;252;600091.015093;649791.594036
11;251;600422.035246;649601.732250
11;250;600739.238871;649376.471531
11;249;600967.245855;651728.010678
11;248;601325.680391;650926.786395
11;247;600390.354801;650506.897934
11;244;599987.832676;651933.067514
11;243;601351.410300;652160.159569
11;240;600329.104150;651208.479851
11;239;600330.141181;650474.633084
11;238;600283.514429;648629.371179
11;237;600447.223996;651149.277552
11;236;600636.894052;649110.603421
11;235;600741.830350;649319.436832
11;233;601514.911596;650068.348954
11;232;600028.886450;648578.742008
11;231;601607.333938;650103.890750
11;229;600284.643085;653002.162496
12;300;600563.954445;652646.640950
12;298;599864.364593;649505.165203
12;295;600361.369070;653379.649436
12;294;601334.504409;650275.520800
12;293;600381.495263;650354.538096
12;290;600520.218761;650877.714860
12;288;600384.426337;650135.919067
12;287;601666.640060;651293.689531
12;286;600564.801499;649049.740549
12;285;600819.388583;649130.236810
12;282;600370.890468;651568.214015
12;281;601772.365239;649602.391517
12;279;600255.040228;649027.918590
12;278;600373.592203;650754.616685
12;277;599978.746488;650814.687166
12;275;601026.924381;649883.108971
12;274;601259.013518;648922.429612
12;272;600195.744990;649919.004013
12;271;600959.343639;652317.776166
12;269;600228.593521;649307.067319
12;267;600410.273702;650778.988449
12;266;601427.567027;650073.855850
12;265;600917.245769;653114.698651
12;264;600931.849799;651452.295264
12;263;601116.907730;648840.293451
12;262;600594.074324;650255.502502
12;261;600670.142316;652137.016046
12;260;599778.170069;650148.694879
12;258;600078.941324;651854.245087
12;256;600378.321080;652205.392234
12;255;601027.839567;652554.729750
12;254;599966.809035;649811.415570
12;252;600091.015093;649791.594036
12;251;600466.412714;649435.355071
12;250;600547.498648;650222.868854
12;249;601553.196478;650859.655193
12;248;601325.680391;650926.786395
12;247;600390.354801;650506.897934
12;244;599987.832676;651933.067514
12;243;601216.577804;652315.915552
12;240;601144.618700;650585.811357
12;239;600330.141181;650474.633084
12;238;600283.514429;648629.371179
12;237;600447.223996;651149.277552
12;236;600062.776300;649802.283594
12;235;600178.201316;649922.244791
12;233;601514.911596;650068.348954
12;232;600028.886450;648578.742008
12;231;601607.333938;650103.890750
12;229;600284.643085;653002.162496
13;300;600332.552992;651757.007584
13;298;599913.414920;649359.668437
13;295;600361.369070;653379.649436
13;294;601334.504409;650275.520800
13;293;600381.495263;650354.538096
13;290;600557.309976;651059.333424
13;288;600384.426337;650135.919067
13;287;601666.640060;651293.689531
13;286;600558.897899;648886.299506
13;285;601041.440851;649127.906884
13;282;600219.121091;651714.177197
13;281;601772.365239;649602.391517
13;279;600255.040228;649027.918590
13;278;600373.592203;650754.616685
13;277;599978.746488;650814.687166
13;275;600905.984259;650013.616277
13;274;600505.128281;649419.894636
13;272;600195.744990;649919.004013
13;271;601112.966783;652431.055057
13;269;600228.593521;649307.067319
13;267;600410.273702;650778.988449
13;266;601427.567027;650073.855850
13;265;601129.363851;653165.842843
13;264;600289.599523;652294.343180
13;263;601116.907730;648840.293451
13;262;600678.882754;650072.088514
13;261;600670.142316;652137.016046
13;260;599778.170069;650148.694879
13;258;600078.941324;651854.245087
13;256;600542.786626;652124.587933
13;255;601027.839567;652554.729750
13;254;599971.400757;649621.321774
13;252;599954.787610;649919.609747
13;251;600636.441641;649408.135791
13;250;600590.019000;649356.067400
13;249;601553.196478;650859.655193
13;248;601325.680391;650926.786395
13;247;600390.354801;650506.897934
13;244;599987.832676;651933.067514
13;243;601087.444257;652476.428029
13;240;601485.167003;649617.923509
13;239;600330.141181;650474.633084
13;238;600283.514429;648629.371179
13;237;600300.242730;650041.969854
13;236;600062.776300;649802.283594
13;235;600178.201316;649922.244791
13;233;601514.911596;650068.348954
13;232;600028.886450;648578.742008
13;231;601607.333938;650103.890750
13;229;600284.643085;653002.162496
14;300;600049.894260;650882.308664
14;298;599905.328867;649512.997688
14;295;600361.369070;653379.649436
